iter	F1	Logloss
0	0.7637168142	0.6080414606
1	0.7593646988	0.5394270863
2	0.7707515627	0.4751843038
3	0.7707515627	0.4347564937
4	0.7711272835	0.3915998684
5	0.7673031026	0.361459846
6	0.7678119887	0.3394388393
7	0.7679262124	0.3223308606
8	0.7673896784	0.3017211539
9	0.7668067227	0.2818261508
10	0.7659960672	0.2684458226
11	0.761627907	0.2568625705
12	0.7652332472	0.2481804567
13	0.7673788745	0.242913951
14	0.7686544801	0.2363808911
15	0.7652489784	0.2295280963
16	0.7652489784	0.2252100898
17	0.7652489784	0.2215737803
18	0.7652489784	0.218196983
19	0.7686544801	0.2139930209
20	0.7652489784	0.2117732185
21	0.7686779458	0.2104226274
22	0.771331058	0.2088466831
23	0.7658676315	0.2077026298
24	0.7658676315	0.2062801933
25	0.767403398	0.2043496467
26	0.7672595719	0.2027234774
27	0.7672595719	0.2019094485
28	0.7672348771	0.2010317392
29	0.7672348771	0.19949362
30	0.7672348771	0.1990716713
31	0.7672348771	0.1984192457
32	0.7672348771	0.1974813136
33	0.7672348771	0.1971637447
34	0.7672348771	0.1964998355
35	0.7672348771	0.1958131119
36	0.7672348771	0.19540055
37	0.7672348771	0.1950369913
38	0.7672348771	0.1947565115
39	0.7672348771	0.1941529362
40	0.7672348771	0.1937965286
41	0.7672348771	0.1936081118
42	0.7672348771	0.1934480082
43	0.7672595719	0.1932300841
44	0.7672595719	0.1930181169
45	0.7672348771	0.1928416697
46	0.7673506337	0.1926511978
47	0.767375245	0.1924364673
48	0.7707462687	0.1920815595
49	0.7707244212	0.1919133743
50	0.7707462687	0.1916709417
51	0.7707462687	0.1915535092
52	0.7708613226	0.1914358407
53	0.7708613226	0.1912287752
54	0.7708613226	0.1906807433
55	0.7708613226	0.1906291158
56	0.7707462687	0.1904038737
57	0.7707462687	0.1900636571
58	0.7707462687	0.1897551973
59	0.7708613226	0.189644194
60	0.7710915335	0.1894492509
61	0.7709764109	0.1892893555
62	0.7708613226	0.1892191766
63	0.7708613226	0.1891084371
64	0.7708613226	0.1891046324
65	0.7707462687	0.1889963924
66	0.7707462687	0.1888155572
67	0.7708613226	0.1887374217
68	0.7708613226	0.1886236412
69	0.7710915335	0.1885775402
70	0.7710915335	0.1883907342
71	0.7709764109	0.1883351215
72	0.7747881671	0.1882476685
73	0.7756495917	0.1880434913
74	0.7747881671	0.1879380146
75	0.7749888608	0.1878689881
76	0.7749888608	0.1878395085
77	0.7749888608	0.1878392585
78	0.7749888608	0.1878390364
79	0.7750556793	0.1877455292
80	0.7749888608	0.1877200626
81	0.7749888608	0.1876161549
82	0.7749888608	0.1874772411
83	0.7759157645	0.1873569343
84	0.7759157645	0.187304432
85	0.7759157645	0.1872314064
86	0.7759157645	0.18719497
87	0.7759157645	0.1871147933
88	0.7759157645	0.187078579
89	0.7759157645	0.1869912788
90	0.7759157645	0.1869912233
91	0.7759157645	0.1869297368
92	0.7759157645	0.1868882599
93	0.7759157645	0.1868882182
94	0.7759157645	0.1868523094
95	0.7759157645	0.1868434503
96	0.7759157645	0.186792406
97	0.7759157645	0.1867222826
98	0.7759157645	0.1866829857
99	0.7759157645	0.186682944
100	0.7758978925	0.1866778618
101	0.7758978925	0.1866778201
102	0.7758978925	0.1866286643
103	0.7758978925	0.1865926028
104	0.7758978925	0.1865593463
105	0.7758978925	0.1865420445
106	0.7758978925	0.1865410586
107	0.7758978925	0.1864808774
108	0.7758978925	0.1864076019
109	0.7758978925	0.1863562382
110	0.7758978925	0.1863032777
111	0.7758978925	0.1862572184
112	0.776128266	0.1861398276
113	0.776128266	0.186139786
114	0.776128266	0.1861239145
115	0.776128266	0.1860430434
116	0.776128266	0.1860430156
117	0.776128266	0.1860367948
118	0.776128266	0.1859813209
119	0.776128266	0.1859622418
120	0.776128266	0.1858963257
121	0.776128266	0.185820648
122	0.776128266	0.1857685345
123	0.776128266	0.1856886632
124	0.776128266	0.185687594
125	0.776128266	0.1856196367
126	0.776128266	0.1856100833
127	0.776128266	0.1855576782
128	0.7761549925	0.1855009546
129	0.7761549925	0.1854973026
130	0.7761549925	0.1854457862
131	0.7761549925	0.1854449808
132	0.7761549925	0.1853320057
133	0.7761549925	0.1852885431
134	0.7761549925	0.1852857659
135	0.7761549925	0.1852430531
136	0.7761549925	0.1852004236
137	0.7761549925	0.1851667088
138	0.7761549925	0.1850698413
139	0.7761549925	0.1850599823
140	0.7761549925	0.1850553584
141	0.7761549925	0.1850528867
142	0.7761549925	0.1850528311
143	0.7761549925	0.1850343908
144	0.7761549925	0.1849734459
145	0.7761549925	0.1849615735
146	0.7761549925	0.184958463
147	0.7761549925	0.1848534862
148	0.7761549925	0.1848508895
149	0.7761549925	0.1848136755
150	0.7761549925	0.1847865287
151	0.7761549925	0.1847833628
152	0.7762706812	0.1847664359
153	0.7762706812	0.1847364148
154	0.7762706812	0.1847344985
155	0.7762706812	0.184706838
156	0.7762706812	0.1847053383
157	0.7765021619	0.1846932576
158	0.7765021619	0.1846385891
159	0.7762706812	0.1846277998
160	0.7765021619	0.1845913912
161	0.7756381549	0.1845456235
162	0.7756381549	0.1845436239
163	0.7756381549	0.1845394165
164	0.7756381549	0.1845381252
165	0.7756381549	0.1845125613
166	0.7756381549	0.1844859144
167	0.7756381549	0.1844632667
168	0.7756381549	0.1844623363
169	0.7756381549	0.1844286771
170	0.7756381549	0.184406182
171	0.7756381549	0.1843087868
172	0.7756381549	0.1842719894
173	0.7756381549	0.1842143632
174	0.7756381549	0.1842141549
175	0.7756381549	0.1842058928
176	0.7756381549	0.1842010189
177	0.7756381549	0.1842007134
178	0.7756381549	0.1841749552
179	0.7756381549	0.1841700952
180	0.7810894142	0.1841307288
181	0.7810894142	0.1840739219
182	0.780638517	0.184041443
183	0.780638517	0.1840350277
184	0.780638517	0.1840135602
185	0.7751682872	0.1840088807
186	0.780638517	0.1840046733
187	0.780638517	0.1839566561
188	0.780638517	0.1839550592
189	0.7786327316	0.1839501992
190	0.7786327316	0.1839405069
191	0.7751682872	0.1839322171
192	0.7751682872	0.1839218999
193	0.7750523482	0.1838776874
194	0.7729802919	0.1838752157
195	0.7729802919	0.1838647875
196	0.7729802919	0.1838579695
197	0.7729802919	0.1838246435
198	0.7729802919	0.1838240742
199	0.7729802919	0.1838226301
200	0.7729802919	0.1838188115
201	0.7729802919	0.1837961082
202	0.7729802919	0.183777404
203	0.7729802919	0.183776307
204	0.7729802919	0.1837751961
205	0.7729802919	0.1837718635
206	0.7729802919	0.1837695724
207	0.7729802919	0.1837663092
208	0.7729802919	0.1837650595
209	0.7729802919	0.183763657
210	0.7729802919	0.1837633654
211	0.7729802919	0.1837611992
212	0.7729802919	0.1837592691
213	0.7729802919	0.1837440085
214	0.7729802919	0.1836622349
215	0.7729802919	0.1836612629
216	0.7729802919	0.1836339634
217	0.7729802919	0.1836289506
218	0.7729802919	0.1836128708
219	0.7729802919	0.1835770592
220	0.7729802919	0.1835768093
221	0.7728640193	0.1835636039
222	0.7784023669	0.1835381789
223	0.7784023669	0.1835358183
224	0.7784023669	0.1835345825
225	0.7784023669	0.1834917864
226	0.7784023669	0.1834906477
227	0.7784023669	0.1834903006
228	0.7784023669	0.1834895091
229	0.7784023669	0.1834870374
230	0.7784023669	0.183486843
231	0.7784023669	0.1834844963
232	0.7784023669	0.1834570163
233	0.7784023669	0.1834561692
234	0.7784023669	0.1834560026
235	0.7784023669	0.1834558637
236	0.7784023669	0.1834551417
237	0.7784023669	0.1834541974
238	0.7784023669	0.1834520312
239	0.7784023669	0.183451212
240	0.7784023669	0.1834147617
241	0.7784023669	0.1834126927
242	0.7784023669	0.1833993762
243	0.7784023669	0.1833955992
244	0.7784023669	0.1833946272
245	0.7784023669	0.1833933081
246	0.7784023669	0.1833909058
247	0.7784023669	0.1833907947
248	0.7784023669	0.1833895034
249	0.7784023669	0.1833836852
250	0.7784023669	0.1833835741
