iter	Passed	Remaining
0	99	99237
1	184	92121
2	282	93894
3	374	93237
4	469	93444
5	554	91890
6	643	91253
7	722	89605
8	811	89340
9	911	90222
10	996	89625
11	1079	88839
12	1150	87386
13	1220	85974
14	1292	84897
15	1376	84658
16	1446	83648
17	1529	83456
18	1609	83109
19	1690	82816
20	1762	82164
21	1839	81777
22	1919	81553
23	1998	81289
24	2092	81594
25	2164	81096
26	2241	80787
27	2317	80449
28	2388	79964
29	2474	80008
30	2557	79930
31	2634	79698
32	2715	79560
33	2789	79268
34	2858	78823
35	2927	78379
36	3007	78276
37	3081	78019
38	3153	77703
39	3234	77632
40	3320	77661
41	3399	77543
42	3478	77411
43	3561	77380
44	3637	77201
45	3714	77029
46	3788	76809
47	3887	77103
48	3956	76781
49	4032	76615
50	4114	76557
51	4200	76577
52	4277	76425
53	4350	76215
54	4424	76023
55	4498	75838
56	4572	75649
57	4658	75666
58	4738	75569
59	4815	75443
60	4888	75253
61	4967	75159
62	5041	74988
63	5116	74832
64	5187	74624
65	5263	74486
66	5347	74465
67	5413	74200
68	5488	74055
69	5564	73930
70	5640	73808
71	5739	73969
72	5812	73808
73	5895	73775
74	5969	73624
75	6048	73531
76	6134	73528
77	6218	73511
78	6289	73320
79	6378	73355
80	6457	73259
81	6533	73141
82	6610	73028
83	6683	72881
84	6766	72841
85	6844	72743
86	6921	72636
87	7002	72575
88	7086	72533
89	7168	72484
90	7249	72413
91	7322	72271
92	7408	72251
93	7485	72145
94	7550	71931
95	7625	71805
96	7704	71719
97	7778	71591
98	7852	71461
99	7927	71343
100	8014	71340
101	8087	71201
102	8168	71138
103	8241	71003
104	8335	71053
105	8427	71078
106	8502	70961
107	8585	70912
108	8680	70957
109	8756	70847
110	8832	70739
111	8927	70779
112	8999	70642
113	9076	70544
114	9143	70364
115	9237	70396
116	9327	70396
117	9427	70463
118	9500	70337
119	9588	70317
120	9661	70186
121	9740	70102
122	9812	69963
123	9887	69852
124	9963	69742
125	10051	69725
126	10137	69684
127	10212	69575
128	10291	69486
129	10378	69455
130	10447	69306
131	10523	69202
132	10619	69227
133	10691	69093
134	10772	69021
135	10856	68969
136	10925	68824
137	11006	68749
138	11095	68725
139	11186	68715
140	11273	68679
141	11349	68574
142	11420	68440
143	11494	68327
144	11573	68241
145	11645	68115
146	11720	68010
147	11808	67975
148	11888	67900
149	11977	67874
150	12067	67849
151	12141	67738
152	12226	67683
153	12315	67657
154	12409	67651
155	12606	68205
156	12710	68245
157	12786	68141
158	12863	68036
159	12936	67915
160	13016	67830
161	13088	67704
162	13165	67603
163	13255	67572
164	13328	67451
165	13404	67344
166	13481	67243
167	13560	67156
168	13646	67103
169	13735	67061
170	13845	67121
171	13928	67052
172	14006	66957
173	14080	66841
174	14168	66793
175	14233	66638
176	14299	66489
177	14369	66359
178	14454	66295
179	14524	66167
180	14613	66125
181	14702	66079
182	14795	66052
183	14886	66018
184	14968	65941
185	15052	65874
186	15134	65796
187	15212	65705
188	15302	65662
189	15379	65563
190	15450	65441
191	15528	65350
192	15627	65345
193	15711	65274
194	15808	65261
195	15877	65131
196	15949	65014
197	16047	64999
198	16120	64887
199	16201	64805
200	16285	64735
201	16369	64666
202	16459	64622
203	16542	64550
204	16615	64435
205	16688	64323
206	16810	64399
207	16914	64403
208	17018	64409
209	17119	64400
210	17223	64403
211	17315	64363
212	17402	64299
213	17475	64187
214	17554	64092
215	17625	63972
216	17705	63886
217	17786	63802
218	17860	63695
219	17967	63701
220	18039	63586
221	18121	63505
222	18199	63414
223	18282	63336
224	18350	63208
225	18429	63117
226	18506	63020
227	18587	62935
228	18661	62830
229	18738	62732
230	18804	62601
231	18880	62500
232	18965	62431
233	19058	62387
234	19136	62296
235	19225	62238
236	19305	62152
237	19375	62034
238	19450	61931
239	19531	61848
240	19605	61743
241	19685	61659
242	19765	61575
243	19866	61553
244	19943	61457
245	20017	61354
246	20087	61239
247	20159	61128
248	20244	61058
249	20343	61031
250	20418	60929
251	20496	60838
252	20564	60717
253	20635	60605
254	20729	60563
255	20805	60465
256	20882	60371
257	20978	60333
258	21069	60281
259	21153	60206
260	21233	60119
261	21309	60024
262	21395	59957
263	21478	59878
264	21559	59796
265	21635	59700
266	21736	59674
267	21821	59601
268	21897	59506
269	21977	59420
270	22051	59319
271	22123	59212
272	22200	59120
273	22281	59039
274	22364	58961
275	22437	58857
276	22508	58750
277	22588	58664
278	22665	58572
279	22751	58504
280	22844	58452
281	22928	58377
282	22999	58269
283	23069	58160
284	23153	58086
285	23221	57971
286	23303	57894
287	23378	57796
288	23448	57688
289	23516	57575
290	23600	57499
291	23683	57423
292	23751	57311
293	23828	57220
294	23894	57103
295	23967	57004
296	24078	56993
297	24149	56889
298	24232	56813
299	24302	56704
300	24383	56624
301	24454	56520
302	24536	56442
303	24622	56371
304	24703	56291
305	24783	56208
306	24851	56099
307	24926	56004
308	25000	55907
309	25071	55804
310	25146	55711
311	25227	55628
312	25314	55563
313	25393	55477
314	25470	55388
315	25543	55291
316	25615	55190
317	25707	55134
318	25778	55031
319	25853	54937
320	25935	54860
321	25995	54735
322	26070	54643
323	26144	54549
324	26243	54506
325	26333	54443
326	26412	54358
327	26484	54259
328	26568	54187
329	26638	54083
330	26712	53990
331	26793	53909
332	26899	53879
333	26964	53768
334	27043	53684
335	27130	53614
336	27205	53523
337	27303	53476
338	27406	53438
339	27478	53340
340	27555	53252
341	27632	53163
342	27709	53076
343	27784	52984
344	27860	52894
345	27933	52799
346	28007	52706
347	28087	52623
348	28155	52518
349	28230	52428
350	28308	52342
351	28379	52243
352	28453	52150
353	28536	52074
354	28615	51991
355	28700	51919
356	28773	51824
357	28853	51742
358	28944	51680
359	29035	51618
360	29104	51518
361	29175	51419
362	29265	51355
363	29334	51255
364	29418	51179
365	29526	51146
366	29598	51051
367	29673	50960
368	29752	50878
369	29835	50800
370	29915	50719
371	29992	50632
372	30068	50544
373	30149	50463
374	30231	50386
375	30299	50284
376	30365	50179
377	30446	50100
378	30535	50032
379	30626	49969
380	30721	49912
381	30823	49865
382	30906	49789
383	31003	49735
384	31103	49684
385	31178	49594
386	31253	49504
387	31350	49449
388	31433	49372
389	31521	49303
390	31601	49221
391	31688	49148
392	31768	49066
393	31842	48976
394	31932	48908
395	32029	48852
396	32092	48745
397	32165	48651
398	32244	48569
399	32315	48472
400	32411	48414
401	32507	48356
